Comedian,Gender,Nationality,Race,Ethnicity,Sexual orientation,Religion,Politics,Education,Genres
tom papa,m,American,white,American,,,,University degree,
tig notaro,f,American,white,American,,,,high school,Observational comedy
joe list,m,American,white,American,,,,high school,
nate bargatze,m,American,white,American,,,,,
brian regan,m,American,white,Irish-American,,,,University degree,"Observational comedy, sarcastic and self-deprecating humour"
chris rock,m,American,black,Afro-American,,,,high school,"Observational comedy, black comedy, sketch comedy, insult comedy, sarcasm, satire"
sarah cooper,f,American,mixed,mixed ethnicity,,,,University degree,satire
larry the cable guy,m,American,white,American,,,,University degree,"Character comedy, blue comedy, insult comedy, observational comedy, political satire"
craig ferguson,m,Scottish American,white,Scottish,,,,high school,"Observational comedy, improvisational comedy, blue comedy, surreal comedy, satire, deadpan"
sam morril,m,American,white,Ashkenazi Jewish,,,,,observational comedy
dave chappelle,m,American,black,Afro-American,,,,high school,"observational comedy, surreal humor, sketch comedy, black comedy, insult comedy, satire"
bill burr,m,American,white,German-Irish,,,,University degree,"observational comedy, black comedy, blue comedy, insult comedy, off-color humor, satire, sarcasm"
john mulaney,m,American,white,Irish Catholic,,,,University degree,"Observational comedy, sketch comedy, surreal humor"
ronny chieng,m,Malaysian,asian,Malaysian Chinese,,,,University degree,
rob schneider,m,American,white,mixed ethnicity,,,republican,University degree,
urzila carlson,f,New Zealander,white,South African - New Zealander,lesbian,presbyterian,,,
george lopez,m,American,hispanic,Mexican/Latin,,,,high school,"observational comedy, black comedy, insult comedy, physical comedy, satire"
jim jefferies,m,Australian-American,white,Australian,,atheist,,University degree,"satire, observational comedy, black comedy"
roy wood jr,m,American,black,Afro-American,,,,University degree,
mark normand,m,American,white,American,,atheist,,high school,
hasan minhaj,m,American,brown?,Indian,,muslim,,University degree,"political, news satire, observational comedy, black comedy, sarcasm, insult comedy, surreal humor "
russell peters,m,Canadian,mixed,Anglo-Indian,,atheist,,high school,"satire, observational comedy, improvisational comedy, black comedy, insult comedy"
jo koy ,m,American,mixed,American-Filipino,,,,high school,
lee mack,m,British,white,English,,,left,University degree,
louis ck,m,American,white,mixed ethnicity,,agnostic,,high school,"observational comedy, black comedy, insult comedy, blue comedy, cringe comedy, surreal humor, satire, deadpan"
louis c k,m,American,white,mixed ethnicity,,agnostic,,high school,"observational comedy, black comedy, insult comedy, blue comedy, cringe comedy, surreal humor, satire, deadpan"
chris d elia,m,American,white,Italian American,,,,high school,
tom segura,m,American,hispanic,Latin Canadian,,,,University degree,"observational comedy, black comedy, sarcasm, insult comedy, deadpan"
bert kreischer,m,American,white,American,,,,University degree,"observational comedy, black comedy"
stewart lee,m,British,white,British,,,,University degree,
